Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-03-23,103.65669688152644,104.81271888911382,103.12106258707114,104.5005874633789,3781165,0,0
TataPower,2010-03-25,104.2655086453911,105.72594802868186,103.27132872577431,104.11521911621094,7282575,0,0
TataPower,2010-03-26,104.81271281360743,105.4677817582943,104.36957005422173,105.1556625366211,3391297,0,0
TataPower,2010-03-29,105.11711039966025,106.04577854069365,104.2192605681045,105.37528228759766,4349363,0,0
TataPower,2010-03-30,105.5833729233776,107.73357460276176,105.09784744286084,105.81842803955078,3116296,0,0
TataPower,2010-03-31,106.5081786416194,107.12086461987002,104.4389041956434,105.86466217041016,3340976,0,0
TataPower,2010-04-01,106.73939077645282,106.73939077645282,103.28674089144128,104.43119812011719,4366347,0,0
TataPower,2010-04-05,104.42737221815432,107.40604964582253,104.42737221815432,106.67390441894531,4818992,0,0
TataPower,2010-04-06,107.14400263876894,108.54278100393527,104.82424547388683,105.56795501708984,5702136,0,0
TataPower,2010-04-07,105.81458222317826,106.8164637274128,105.14408591922292,106.4118652,2970486,0,0
TataPower,2010-04-08,106.35405497964732,106.6931538972766,105.00536084059034,105.6835708618164,2277855,0,0
TataPower,2010-04-09,105.5833755286854,106.35405265445418,104.53909906658276,105.34060668945312,3222605,0,0
TataPower,2010-04-12,105.42924362450252,106.35406112345541,102.92452753384373,103.65668487548828,2732345,0,0
TataPower,2010-04-13,103.81081419674643,104.41194801518168,102.84746465523862,103.30602264404297,2372662,0,0
TataPower,2010-04-15,104.12678979069891,105.12096976943505,102.37348496180381,102.87057495117188,2621528,0,0
TataPower,2010-04-16,101.9611800616215,103.65668696790618,101.84557787191885,102.11917114257812,2304093,0,0
TataPower,2010-04-19,101.81859611516984,102.03824208599299,100.26567125651444,101.27141571044922,2826830,0,0
TataPower,2010-04-20,101.34463074321805,102.7858103048381,99.50270344820629,101.16737365722656,3221010,0,0
TataPower,2010-04-21,101.34464463095739,103.3869460725313,101.11344023432754,102.07678985595703,2541229,0,0
TataPower,2010-04-22,101.65290328597499,104.0420109486891,100.69725534650236,103.1904067993164,3740358,0,0
TataPower,2010-04-23,103.11720371128875,105.57568632999366,101.98815543623665,104.98225402832031,3685851,0,0
TataPower,2010-04-26,105.12097810973317,107.04767722413423,104.88977372856631,105.47164154052734,1655162,0,0
TataPower,2010-04-27,104.73562823513711,106.7394035015215,104.73562823513711,105.58338165283203,2052968,0,0
TataPower,2010-04-28,104.08826679474919,105.48319462425786,102.04210252249841,102.6894760131836,2798458,0,0
TataPower,2010-04-29,102.8859874401569,105.96872031908002,102.8859874401569,104.86664581298828,3587749,0,0
TataPower,2010-04-30,105.96872945345703,105.96872945345703,103.88789006450332,104.65471649169922,2743940,0,0
TataPower,2010-05-03,105.12097627871516,105.12097627871516,102.97847588470412,103.33685302734375,1029256,0,0
TataPower,2010-05-04,104.32716775884242,104.32716775884242,101.07104053651425,101.65290832519531,2437739,0,0
TataPower,2010-05-05,100.26567072223837,102.15384372214403,100.26567072223837,101.75308990478516,4656652,0,0
TataPower,2010-05-06,101.57583676489148,101.72997097970871,99.58747675672473,100.40825653076172,3549035,0,0
TataPower,2010-05-07,99.41793295964422,100.18090863850163,97.41416368086378,98.87460327148438,4340637,0,0
TataPower,2010-05-10,100.11153452408334,103.65667609370416,99.01716764923601,102.96305084228516,3294438,0,0
TataPower,2010-05-11,103.88788894244126,103.88788894244126,100.88222598676505,102.62010955810547,2675289,0,0
TataPower,2010-05-12,101.3639097854121,104.73563952539016,101.3639097854121,104.08827209472656,4297560,0,0
TataPower,2010-05-13,104.42735846312893,105.17491884281597,103.42547693578645,104.2231216430664,3283268,0,0
TataPower,2010-05-14,104.19615782299293,105.07472957375009,102.11916921360834,102.8975601196289,1241853,0,0
TataPower,2010-05-17,101.72998018649383,101.93806779296261,100.18861961987325,101.70686340332031,1657027,0,0
TataPower,2010-05-18,102.65478289591589,102.65478289591589,99.15589314884058,100.38127136230469,3836097,0,0
TataPower,2010-05-19,99.57204453246362,101.25212973159373,99.20597203,100.34272766113281,2820239,0,0
TataPower,2010-05-20,100.80515880033039,102.42358946637441,98.80138953050873,99.36783599853516,2553177,0,0
TataPower,2010-05-21,97.49120967459709,100.85908783807041,96.56639231843842,97.07118988,4285726,0,0
TataPower,2010-05-24,97.88425627469465,97.88425627469465,94.99805888199757,95.90361022949219,4585939,0,0
TataPower,2010-05-25,93.25247625340432,95.10211126,91.71111577908464,92.78621673583984,4960129,0,0
TataPower,2010-05-26,93.29485696753959,95.07127852092331,92.32765065852547,94.63969421386719,4413755,0,0
TataPower,2010-05-27,94.63970164776872,96.72054101102515,93.83434319875488,96.04234313964844,4652839,0,0
TataPower,2010-05-28,96.45079429156966,98.64723561,94.87089587594612,97.92279815673828,5686468,0,0
TataPower,2010-05-31,98.26191334840321,99.41793528492707,97.33709579918413,99.05957031,2779370,0,0
TataPower,2010-06-01,98.64723453331078,98.95550903,95.56836474139243,96.75521087646484,2620160,0,0
TataPower,2010-06-02,96.75521939104001,96.99798824126917,94.11563518790464,95.65314483642578,3812160,0,0
TataPower,2010-06-03,96.33519427756102,98.52007725222319,95.65699646350123,95.92288208007812,1455082,0,0
TataPower,2010-06-04,95.92288653,95.92288653,93.35265878386153,95.46818542480469,2008409,0,0
TataPower,2010-06-07,94.10022018523307,95.31789684759377,91.86524072,94.17728424072266,4354502,0,0
TataPower,2010-06-08,94.80924495988694,96.92862230980946,94.16957916132995,95.83039855957031,5059226,0,0
TataPower,2010-06-09,95.79572814066309,96.28896741128145,93.04824916418838,93.40276336669922,2543498,0,0
TataPower,2010-06-10,94.40463750676157,95.08669217202437,93.25246651407915,94.75529479980469,2306186,0,0
TataPower,2010-06-11,95.78030910831018,96.95174616227004,94.60116443,95.58378601074219,3944085,0,0
TataPower,2010-06-14,95.87279866766265,97.09047550544163,95.64159428191961,96.60494995117188,1833034,0,0
